day,project,outstanding_usd_value
2021-02-08T00:00:00+00:00,Compound,6964555967.832569
2021-05-04T00:00:00+00:00,MakerDAO,10984053881.810291
2021-05-10T00:00:00+00:00,Aave,16479767169.936533
2021-03-08T00:00:00+00:00,Aave,6827412899.96997
2021-04-25T00:00:00+00:00,Compound,12708899424.688156
2020-12-06T00:00:00+00:00,MakerDAO,2334744009.3706603
2021-04-26T00:00:00+00:00,MakerDAO,8703225474.453188
2021-05-10T00:00:00+00:00,Compound,16748592395.333977
2021-05-23T00:00:00+00:00,Aave,10885225640.418415
2021-03-06T00:00:00+00:00,MakerDAO,6006381131.751618
2021-02-16T00:00:00+00:00,Aave,6626125678.198225
2021-03-12T00:00:00+00:00,MakerDAO,6802832957.358357
2021-01-27T00:00:00+00:00,Aave,4305979778.990142
2021-01-04T00:00:00+00:00,Compound,3800412776.473706
2021-04-11T00:00:00+00:00,MakerDAO,7536229553.376334
2020-12-21T00:00:00+00:00,Aave,2008480599.6521509
2021-04-07T00:00:00+00:00,Aave,7796652260.691045
2021-02-27T00:00:00+00:00,Compound,8122020525.027642
2021-02-17T00:00:00+00:00,Aave,6568587833.396935
2021-03-28T00:00:00+00:00,Compound,10066110117.448458
2021-03-01T00:00:00+00:00,Aave,5981774635.294465
2021-04-04T00:00:00+00:00,Compound,13016454868.828619
2021-02-12T00:00:00+00:00,Aave,6740929799.75823
2021-03-12T00:00:00+00:00,Aave,6761796790.257642
2021-03-11T00:00:00+00:00,Compound,9782962076.476316
2021-03-29T00:00:00+00:00,Aave,7471641686.201518
2021-03-30T00:00:00+00:00,Aave,7571460648.510681
2021-03-16T00:00:00+00:00,Compound,10992149697.35644
2021-02-06T00:00:00+00:00,Aave,6226713750.873472
2021-05-21T00:00:00+00:00,Aave,13607334834.316254
2020-12-21T00:00:00+00:00,MakerDAO,2476063545.1451077
2021-04-20T00:00:00+00:00,Compound,11941748380.29686
2021-04-30T00:00:00+00:00,Aave,13411139977.34257
2021-04-05T00:00:00+00:00,MakerDAO,7447641505.948165
2020-12-01T00:00:00+00:00,Aave,1985956082.6723602
2021-01-12T00:00:00+00:00,Aave,2968793957.987218
2021-02-23T00:00:00+00:00,Compound,8265920159.468627
2020-12-29T00:00:00+00:00,Compound,3813148379.45815
2021-01-17T00:00:00+00:00,MakerDAO,4091632263.7636952
2021-03-13T00:00:00+00:00,Compound,11048697965.909796
2021-03-04T00:00:00+00:00,MakerDAO,6124014078.889687
2021-04-18T00:00:00+00:00,Compound,12665595224.317635
2021-01-21T00:00:00+00:00,MakerDAO,4083164894.55455
2021-03-22T00:00:00+00:00,Compound,10806634655.241413
2021-02-03T00:00:00+00:00,Aave,5520281046.697602
2020-12-19T00:00:00+00:00,Aave,2095703415.663041
2021-02-17T00:00:00+00:00,MakerDAO,6388256076.253589
2021-04-25T00:00:00+00:00,MakerDAO,7757597692.694769
2021-04-26T00:00:00+00:00,Compound,13033303374.37347
2021-03-19T00:00:00+00:00,Compound,10778463541.973059
2021-03-12T00:00:00+00:00,Compound,10701255440.65488
2021-01-04T00:00:00+00:00,MakerDAO,3693785192.3173213
2021-04-13T00:00:00+00:00,Aave,8039245372.977358
2021-02-06T00:00:00+00:00,Compound,6527735708.443223
2021-01-27T00:00:00+00:00,Compound,5093324686.041333
2021-02-05T00:00:00+00:00,Compound,6413402101.832614
2021-01-25T00:00:00+00:00,MakerDAO,4665819835.049912
2021-04-27T00:00:00+00:00,Compound,13243840975.226484
2021-04-19T00:00:00+00:00,MakerDAO,8110657549.313209
2021-03-24T00:00:00+00:00,MakerDAO,6055886653.713515
2021-01-21T00:00:00+00:00,Aave,3491652155.73166
2020-12-27T00:00:00+00:00,Aave,2065805433.2282984
2021-03-22T00:00:00+00:00,Aave,7023665368.921071
2021-04-17T00:00:00+00:00,Aave,8896312828.332203
2021-03-22T00:00:00+00:00,MakerDAO,6723954187.386485
2021-05-16T00:00:00+00:00,Compound,14751126172.341003
2020-12-16T00:00:00+00:00,MakerDAO,2373247821.845759
2021-02-08T00:00:00+00:00,Aave,6339053605.403536
2020-12-01T00:00:00+00:00,Compound,3256889628.0346518
2020-12-03T00:00:00+00:00,Compound,3241830769.806927
2021-05-16T00:00:00+00:00,MakerDAO,11819415314.687553
2020-12-09T00:00:00+00:00,Aave,1829889805.606375
2021-04-08T00:00:00+00:00,MakerDAO,7300343304.952574
2021-03-31T00:00:00+00:00,Compound,10725573237.87614
2021-03-23T00:00:00+00:00,Compound,10597111532.772247
2020-12-25T00:00:00+00:00,Compound,3741727530.8375125
2021-02-20T00:00:00+00:00,Aave,7257647231.241424
2021-05-03T00:00:00+00:00,Compound,14178774560.818697
2021-03-14T00:00:00+00:00,Compound,11164031377.58436
2020-11-29T00:00:00+00:00,Aave,1837951358.9099305
2021-03-04T00:00:00+00:00,Compound,9110726550.816362
2021-04-18T00:00:00+00:00,MakerDAO,7964148955.0421095
2021-03-09T00:00:00+00:00,MakerDAO,6435676015.973884
2021-03-16T00:00:00+00:00,MakerDAO,6763355044.370541
2020-12-19T00:00:00+00:00,Compound,3741267668.386304
2021-02-04T00:00:00+00:00,Aave,5989973222.792665
2020-12-14T00:00:00+00:00,Compound,3427339034.0615807
2021-01-18T00:00:00+00:00,Compound,5021167660.979514
2020-12-26T00:00:00+00:00,MakerDAO,2439310525.001141
2021-04-13T00:00:00+00:00,Compound,15103301678.21287
2021-05-06T00:00:00+00:00,Compound,15052448089.0224
2020-11-30T00:00:00+00:00,Aave,1967839346.767476
2021-03-11T00:00:00+00:00,MakerDAO,6441639591.5558815
2021-03-11T00:00:00+00:00,Aave,6907858934.431994
2021-01-09T00:00:00+00:00,Compound,4470388366.933469
2021-01-28T00:00:00+00:00,Compound,5161938736.144543
2021-03-27T00:00:00+00:00,Compound,10132900004.045965
2021-03-23T00:00:00+00:00,MakerDAO,6107559786.002214
2021-04-14T00:00:00+00:00,MakerDAO,8498684901.433754
2020-11-28T00:00:00+00:00,Aave,1765726007.1605728
2020-12-31T00:00:00+00:00,MakerDAO,2804279140.2631817
2021-04-06T00:00:00+00:00,Compound,13753616271.352673
2020-11-30T00:00:00+00:00,Compound,3252676545.2862315
2021-02-19T00:00:00+00:00,Compound,9138607240.588396
2021-04-25T00:00:00+00:00,Aave,7463388864.289539
2021-01-29T00:00:00+00:00,Aave,4848503873.907814
2020-12-18T00:00:00+00:00,Compound,3668563468.4726005
2021-02-07T00:00:00+00:00,MakerDAO,5613195494.0228405
2021-05-08T00:00:00+00:00,Aave,15965599772.827454
2021-05-17T00:00:00+00:00,Compound,14523638323.451677
2021-03-02T00:00:00+00:00,Aave,6258858607.328296
2021-02-01T00:00:00+00:00,Aave,4956132569.47827
2021-02-17T00:00:00+00:00,Compound,8730637620.658642
2021-05-15T00:00:00+00:00,MakerDAO,12231602747.193771
2021-01-01T00:00:00+00:00,Aave,2450068480.553428
2021-03-07T00:00:00+00:00,Compound,9104196050.789469
2020-12-29T00:00:00+00:00,Aave,2118710733.7490804
2021-02-19T00:00:00+00:00,Aave,6870550363.8796425
2021-04-11T00:00:00+00:00,Compound,13982878512.320208
2021-05-19T00:00:00+00:00,Aave,14469480567.21769
2021-03-15T00:00:00+00:00,Aave,6857025932.564594
2021-04-20T00:00:00+00:00,MakerDAO,7761057090.772959
2021-02-10T00:00:00+00:00,MakerDAO,6241550540.636156
2021-02-05T00:00:00+00:00,Aave,6385713619.823743
2020-11-26T00:00:00+00:00,Compound,3037534338.8885436
2021-04-21T00:00:00+00:00,Compound,13133166153.356213
2021-04-21T00:00:00+00:00,MakerDAO,8163141152.065211
2021-01-29T00:00:00+00:00,MakerDAO,4738803100.636209
2020-12-08T00:00:00+00:00,MakerDAO,2268282851.889342
2021-01-21T00:00:00+00:00,Compound,5011004932.499783
2021-04-17T00:00:00+00:00,MakerDAO,8265642967.679872
2021-04-16T00:00:00+00:00,MakerDAO,8728240866.01409
2021-05-18T00:00:00+00:00,Compound,14773173309.981302
2020-12-04T00:00:00+00:00,Compound,3157505433.2237086
2021-01-17T00:00:00+00:00,Aave,3504143864.844776
2021-01-06T00:00:00+00:00,MakerDAO,3948715938.617878
2021-05-13T00:00:00+00:00,Aave,16234511683.005169
