date_trunc,project,usd_volume
2020-08-01T00:00:00+00:00,Uniswap,6751059292.141855148066320006289257
2020-09-01T00:00:00+00:00,Uniswap,15371986165.292239037981712728575157
2020-10-01T00:00:00+00:00,Uniswap,11215864395.566095479909816717682863
2020-11-01T00:00:00+00:00,Uniswap,9909565418.208671770309435981768855
2020-12-01T00:00:00+00:00,Uniswap,12817647883.044176216531644483397957
2021-01-01T00:00:00+00:00,Uniswap,26291584975.394005986545261363636048
2021-02-01T00:00:00+00:00,Uniswap,32107799215.265527256147853241985250
2021-03-01T00:00:00+00:00,Uniswap,31632082517.191545015579452496993426
2021-04-01T00:00:00+00:00,Uniswap,36535670753.326230820816026407295288
2021-05-01T00:00:00+00:00,Uniswap,4010441369.832195659325623670198591
2019-05-01T00:00:00+00:00,dYdX,139146.471881814903108660
2019-06-01T00:00:00+00:00,dYdX,370868.180845200151757687615
2019-07-01T00:00:00+00:00,dYdX,270019.8073802164908166874
2019-08-01T00:00:00+00:00,dYdX,101411.701329800453713853110
2019-09-01T00:00:00+00:00,dYdX,3993199.621789525002828203875
2019-10-01T00:00:00+00:00,dYdX,7772342.11649354588619408994
2019-11-01T00:00:00+00:00,dYdX,25906526.20833017583906775663
2019-12-01T00:00:00+00:00,dYdX,22384278.9962838041366149754087545
2020-01-01T00:00:00+00:00,dYdX,28837053.1299690220174173435955
2020-02-01T00:00:00+00:00,dYdX,113761037.7133283749781024427
2020-03-01T00:00:00+00:00,dYdX,189649874.0573505884236438159823265
2020-04-01T00:00:00+00:00,dYdX,123215418.0631039753252777363383450
2020-05-01T00:00:00+00:00,dYdX,152115757.0855284656130589640087800
2020-06-01T00:00:00+00:00,dYdX,158667632.3087806877468134103944500
2020-07-01T00:00:00+00:00,dYdX,254721965.4459616872604631388888965
2020-08-01T00:00:00+00:00,dYdX,326566144.8074556475279772392862030
2020-09-01T00:00:00+00:00,dYdX,181513438.4910622653091392158002400
2020-10-01T00:00:00+00:00,dYdX,122107988.560777655364381632621382
2020-11-01T00:00:00+00:00,dYdX,362467855.950332743417084290225
2020-12-01T00:00:00+00:00,dYdX,398606823.04466966657408878757
2021-01-01T00:00:00+00:00,dYdX,1525018452.25155807837982772619
2021-02-01T00:00:00+00:00,dYdX,1309265521.40664377357637490667
2021-03-01T00:00:00+00:00,dYdX,529695087.4201415397707768320354290
2021-04-01T00:00:00+00:00,dYdX,479398787.87554857321616322592
2021-05-01T00:00:00+00:00,dYdX,39932878.907814458640
