day,cumulative_volume
2021-02-13T00:00:00+00:00,27415794285.742973
2021-02-14T00:00:00+00:00,27572225620.426434
2021-02-15T00:00:00+00:00,27719350815.585373
2021-02-16T00:00:00+00:00,27837224511.41552
2021-02-17T00:00:00+00:00,27996867002.030476
2021-02-18T00:00:00+00:00,28148204880.508526
2021-02-19T00:00:00+00:00,28281406856.604984
2021-02-20T00:00:00+00:00,28484652695.609653
2021-02-21T00:00:00+00:00,28606393417.99377
2021-02-22T00:00:00+00:00,28845790976.99973
2021-02-23T00:00:00+00:00,29204929705.42616
2021-02-24T00:00:00+00:00,29473658546.589127
2021-02-25T00:00:00+00:00,29673748838.323174
2021-02-26T00:00:00+00:00,29893507440.155895
2021-02-27T00:00:00+00:00,30013870049.523224
2021-02-28T00:00:00+00:00,30335402892.18701
2021-03-01T00:00:00+00:00,30564260417.83403
2021-03-02T00:00:00+00:00,30850504496.632423
2021-03-03T00:00:00+00:00,30999052462.551693
2021-03-04T00:00:00+00:00,31189353398.928547
2021-03-05T00:00:00+00:00,31402432027.161663
2021-03-06T00:00:00+00:00,31569989425.54474
2021-03-07T00:00:00+00:00,32100193465.733345
2021-03-08T00:00:00+00:00,32311297011.969593
2021-03-09T00:00:00+00:00,32587314465.333744
2021-03-10T00:00:00+00:00,32817643298.2619
2021-03-11T00:00:00+00:00,32966338585.78057
2021-03-12T00:00:00+00:00,33279545126.237385
2021-03-13T00:00:00+00:00,33445905415.940132
2021-03-14T00:00:00+00:00,33591597677.57557
2021-03-15T00:00:00+00:00,33683417493.009544
2021-03-16T00:00:00+00:00,33802005964.014324
2021-03-17T00:00:00+00:00,33917394036.172596
2021-03-18T00:00:00+00:00,33986525142.443485
2021-03-19T00:00:00+00:00,34110961566.837955
2021-03-20T00:00:00+00:00,34193847366.32598
2021-03-21T00:00:00+00:00,34290190177.416294
2021-03-22T00:00:00+00:00,34419566622.63124
2021-03-23T00:00:00+00:00,34519564992.74501
2021-03-24T00:00:00+00:00,34704923768.31046
2021-03-25T00:00:00+00:00,34870630623.6498
2021-03-26T00:00:00+00:00,35108969396.61844
2021-03-27T00:00:00+00:00,35254204958.296486
2021-03-28T00:00:00+00:00,35375362752.14309
2021-03-29T00:00:00+00:00,35512424282.6893
2021-03-30T00:00:00+00:00,35667694592.99422
2021-03-31T00:00:00+00:00,35787333798.2604
2021-04-01T00:00:00+00:00,35929218207.42513
2021-04-02T00:00:00+00:00,36130601935.74538
2021-04-03T00:00:00+00:00,36425615545.20086
2021-04-04T00:00:00+00:00,36606556163.92218
2021-04-05T00:00:00+00:00,36795097643.23967
2021-04-06T00:00:00+00:00,36873085511.39118
2021-04-07T00:00:00+00:00,36972351972.502594
2021-04-08T00:00:00+00:00,37243990172.02048
2021-04-09T00:00:00+00:00,37514246141.794044
2021-04-10T00:00:00+00:00,37769219499.09425
2021-04-11T00:00:00+00:00,37920944657.60821
2021-04-12T00:00:00+00:00,38134885799.42009
2021-04-13T00:00:00+00:00,38675832957.125916
2021-04-14T00:00:00+00:00,38975553154.64727
2021-04-15T00:00:00+00:00,39089325125.069084
2021-04-16T00:00:00+00:00,39428387125.770164
2021-04-17T00:00:00+00:00,39560054291.76648
