hour,troves
2021-05-02T05:00:00+00:00,1063
2021-05-02T06:00:00+00:00,1064
2021-05-02T07:00:00+00:00,1063
2021-05-02T09:00:00+00:00,1065
2021-05-02T11:00:00+00:00,1066
2021-05-02T12:00:00+00:00,1066
2021-05-02T13:00:00+00:00,1065
2021-05-02T14:00:00+00:00,1066
2021-05-02T16:00:00+00:00,1068
2021-05-02T17:00:00+00:00,1071
2021-05-02T18:00:00+00:00,1071
2021-05-02T19:00:00+00:00,1074
2021-05-02T20:00:00+00:00,1073
2021-05-02T21:00:00+00:00,1073
2021-05-02T22:00:00+00:00,1074
2021-05-02T23:00:00+00:00,1074
2021-05-03T00:00:00+00:00,1076
2021-05-03T01:00:00+00:00,1073
2021-05-03T02:00:00+00:00,1070
2021-05-03T03:00:00+00:00,1071
2021-05-03T04:00:00+00:00,1069
2021-05-03T05:00:00+00:00,1069
2021-05-03T06:00:00+00:00,1069
2021-05-03T07:00:00+00:00,1070
2021-05-03T09:00:00+00:00,1070
2021-05-03T10:00:00+00:00,1072
2021-05-03T11:00:00+00:00,1072
2021-05-03T12:00:00+00:00,1074
2021-05-03T13:00:00+00:00,1073
2021-05-03T14:00:00+00:00,1073
2021-05-03T15:00:00+00:00,1074
2021-05-03T16:00:00+00:00,1073
2021-05-03T17:00:00+00:00,1072
2021-05-03T18:00:00+00:00,1071
2021-05-03T20:00:00+00:00,1073
2021-05-03T22:00:00+00:00,1075
2021-05-03T23:00:00+00:00,1073
2021-05-04T00:00:00+00:00,1074
2021-05-04T01:00:00+00:00,1076
2021-05-04T02:00:00+00:00,1073
2021-05-04T03:00:00+00:00,1075
2021-05-04T04:00:00+00:00,1073
2021-05-04T05:00:00+00:00,1072
2021-05-04T06:00:00+00:00,1071
2021-05-04T07:00:00+00:00,1072
2021-05-04T08:00:00+00:00,1073
2021-05-04T09:00:00+00:00,1072
2021-05-04T10:00:00+00:00,1074
2021-05-04T12:00:00+00:00,1077
2021-05-04T13:00:00+00:00,1078
2021-05-04T15:00:00+00:00,1076
2021-05-04T16:00:00+00:00,1073
2021-05-04T17:00:00+00:00,1073
2021-05-04T18:00:00+00:00,1072
2021-05-04T19:00:00+00:00,1070
2021-05-04T20:00:00+00:00,1073
2021-05-04T21:00:00+00:00,1072
2021-05-04T22:00:00+00:00,1074
2021-05-04T23:00:00+00:00,1075
2021-05-05T00:00:00+00:00,1074
2021-05-05T01:00:00+00:00,1075
2021-05-05T02:00:00+00:00,1074
2021-05-05T03:00:00+00:00,1075
2021-05-05T04:00:00+00:00,1076
2021-05-05T05:00:00+00:00,1078
2021-05-05T06:00:00+00:00,1076
2021-05-05T07:00:00+00:00,1074
2021-05-05T08:00:00+00:00,1075
2021-05-05T09:00:00+00:00,1076
2021-05-05T10:00:00+00:00,1077
2021-05-05T11:00:00+00:00,1079
2021-05-05T12:00:00+00:00,1078
2021-05-05T14:00:00+00:00,1075
2021-05-05T15:00:00+00:00,1078
2021-05-05T16:00:00+00:00,1077
2021-05-05T17:00:00+00:00,1080
2021-05-05T18:00:00+00:00,1079
2021-05-05T20:00:00+00:00,1078
2021-05-05T22:00:00+00:00,1080
2021-05-05T23:00:00+00:00,1080
2021-05-06T01:00:00+00:00,1083
2021-05-06T02:00:00+00:00,1082
2021-05-06T03:00:00+00:00,1080
2021-05-06T04:00:00+00:00,1081
2021-05-06T05:00:00+00:00,1082
2021-05-06T06:00:00+00:00,1081
2021-05-06T08:00:00+00:00,1079
2021-05-06T09:00:00+00:00,1079
2021-05-06T11:00:00+00:00,1080
2021-05-06T12:00:00+00:00,1080
2021-05-06T13:00:00+00:00,1079
2021-05-06T15:00:00+00:00,1081
2021-05-06T16:00:00+00:00,1084
2021-05-06T17:00:00+00:00,1086
2021-05-06T18:00:00+00:00,1087
2021-05-06T19:00:00+00:00,1089
2021-05-06T20:00:00+00:00,1089
2021-05-06T21:00:00+00:00,1091
2021-05-06T22:00:00+00:00,1094
2021-05-06T23:00:00+00:00,1095
2021-05-07T00:00:00+00:00,1097
2021-05-07T01:00:00+00:00,1095
2021-05-07T02:00:00+00:00,1097
2021-05-07T03:00:00+00:00,1097
2021-05-07T04:00:00+00:00,1097
2021-05-07T05:00:00+00:00,1097
2021-05-07T06:00:00+00:00,1099
2021-05-07T07:00:00+00:00,1100
2021-05-07T08:00:00+00:00,1098
2021-05-07T10:00:00+00:00,1099
2021-05-07T12:00:00+00:00,1098
2021-05-07T13:00:00+00:00,1099
2021-05-07T14:00:00+00:00,1102
2021-05-07T15:00:00+00:00,1103
2021-05-07T17:00:00+00:00,1105
2021-05-07T18:00:00+00:00,1105
2021-05-07T19:00:00+00:00,1107
2021-05-07T20:00:00+00:00,1107
2021-05-07T21:00:00+00:00,1108
2021-05-07T22:00:00+00:00,1108
2021-05-07T23:00:00+00:00,1109
2021-05-08T00:00:00+00:00,1109
2021-05-08T01:00:00+00:00,1110
2021-05-08T02:00:00+00:00,1114
2021-05-08T03:00:00+00:00,1115
2021-05-08T05:00:00+00:00,1116
2021-05-08T08:00:00+00:00,1113
2021-05-08T09:00:00+00:00,1114
2021-05-08T10:00:00+00:00,1112
2021-05-08T11:00:00+00:00,1114
2021-05-08T12:00:00+00:00,1112
2021-05-08T13:00:00+00:00,1110
2021-05-08T17:00:00+00:00,1111
2021-05-08T19:00:00+00:00,1112
2021-05-08T20:00:00+00:00,1113
2021-05-08T21:00:00+00:00,1112
2021-05-08T22:00:00+00:00,1112
2021-05-08T23:00:00+00:00,1112
2021-05-09T01:00:00+00:00,1113
2021-05-09T02:00:00+00:00,1114
2021-05-09T04:00:00+00:00,1115
2021-05-09T05:00:00+00:00,1117
2021-05-09T06:00:00+00:00,1119
2021-05-09T07:00:00+00:00,1117
2021-05-09T08:00:00+00:00,1115
2021-05-09T09:00:00+00:00,1115
2021-05-09T10:00:00+00:00,1113
2021-05-09T11:00:00+00:00,1110
2021-05-09T12:00:00+00:00,1112
2021-05-09T13:00:00+00:00,1113
