date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-05-18T00:00:00+00:00,4043087.2095300105833016512357292260353911970483605038763670097656725588323072813640,193629.8163400260000000000000000000,240.8527649087583772067438747284782751527392029525985124851745603021557183766687,209.3434393568165818074814412779884663580049588414603618223934139739728450919759,178.4774068651537319541912701463304032120969224463785438143059764571749942096981,169.3107696861161038288095349788231167611598714480242166227315974965343574642713,160.5685365225405255711066574925380996217155443210439121292732899504519729675505
2021-05-17T00:00:00+00:00,4007469.9699786857503499956841556622421469961080568413500389471054945047244959103474,189611.1886708870000000000000000000,241.8137079594011231436794329615246706558594939871582437028869728665032475564015,210.1786679800951712165533308867805306987671599336342197883121488079468754949472,179.1894876415101038629586540232645502230883628224936405158967194659993799675246,169.9862778439339400545715205633514216606095962764102146185164834035102644772770,161.2091653290300972094171801140329284086007331479952174660072109590377339163494
2021-05-16T00:00:00+00:00,4003281.0427997915662074961764551848340563285002251294455657541303933578663018320328,185202.8447398260000000000000000000,243.5952936168311632847512932165100409698144776687667475489914929330263554765510,211.7271794500650862763014531307512959056418568990528831069034745118683326119445,180.5096833567916804337862084817481855243659252585226858329580657954956149149683,171.2386680294296115815058473957152518053939995405095514326810007532019817266063,162.3968892972870513529612293163166346796984956859970086570147413185332190792721
2021-05-15T00:00:00+00:00,3980474.3823614738732228414213541161602405646404718569683567622145400355429111132430,182581.4608316570000000000000000000,244.2723192954401773604382876225220361068347296990823548922194074057624682284179,212.3156339116386757323111721221702499376533668032691139007764595223104884590908,181.0113748675577410206655226301089460848368393512725976845444511059116979424613,171.7145925586164837797792962005956210926957928672497762460792253719821638020397,162.8482398244176459093738586944545685178178753169388685412415411912319033155223
2021-05-14T00:00:00+00:00,3980047.6806520564411478627722886869657966645088393589235289105079093146680276748544,178491.9365226960000000000000000000,246.0592717122446333153967771538113251878460338794788864937946971094615120582743,213.8688100399780566972141695874466757032692516969755064670131247118580306517177,182.3355474742683109317056932786771290050127529791190024437787315935070511536163,172.9707553815603770116629241389494961884179166790670502798993765052921666965194,164.0395416328498831570949895848142593268102379670973905394692597533794692968338
2021-05-13T00:00:00+00:00,3979641.5249513756067653846443047429264517499017669975231821201283138381997828666368,174403.2920482730000000000000000000,247.8878494621362134036342797541641933499282993740758777171935204498399265231170,215.4581659082350290583861175891513255913529040449875892150240598197597967241274,183.6905654047271989364417289212046217626373020148512386745072629728806484842443,174.2561793059331526262807985836064290390903057541406391593350952623327396327821,165.2585936679344687042925211485787546531012493349722442130130527922036387637796
2021-05-12T00:00:00+00:00,3942809.8083404882156232819766174755087340175095685771460145509974648533654001623624,173344.4413605530000000000000000000,247.6335599668542340137856707728266384304593926204185769126823637840399489600604,215.2371435855109989477375214002519553996850091432562651307952595730533182650334,183.5021310733705733229947115479318851082209391384929063734159766555392504617309,174.0774230014929858904472652962039336692139620516653199509103120620605319580129,165.0890673096800772118162651531648969314777296004915781306757203680440771429110
2021-05-11T00:00:00+00:00,3827632.8401070042995418932633805729621534206929816587209713927207549976963499904128,169361.6591712660000000000000000000,247.1260755017914502393712379214082563906521520778792361578791544506433156934518,214.7960502753443357258464472365258164911356012575023089127591090015558745893435,183.1260734790844231962954511841202374662000282033521412995668364415341342481355,173.7206798043946397441073530678359296868075152658568360000753007483106281948637,164.7507442769595490486078603479646675778053739597612119422812193968517785549801
2021-05-10T00:00:00+00:00,3827300.7460269097215125277854164262914942321705782138279990243617151865725227769520,167728.2613166210000000000000000000,247.8873146698595224095991845573632480553846663243516520563234990400722028456010,215.4577010796307721518899253577476477118991228588757274764816441553832766084344,183.6901691114199932713649908281378922313583157142341419038385469882500463564907,174.2558033663336091296228634349525356029454724077173115630451350596962850202762,165.2582371396909820219227306122973023734925356314804775110130976290981968348236
2021-05-09T00:00:00+00:00,3737928.8889423048857692566245606383291050518083142772975246437735812663123880216302,164085.5155488100000000000000000000,247.7549006909769011858250401220425307249692635522838747775416001976664769164267,215.3426100290102409660623890035914924119631020389780169355428981367149774202660,183.5920473248894535305097095492722252294935907879353533641588970150417877607365,174.1627211354100376388865246427180673327015675478705043558538514314493968587823,165.1699611391544570565361801801714648135600437522890563037373631222167882305343
2021-05-08T00:00:00+00:00,3726954.7316869910135577675796500207132649549750538327426612076281723826682323652000,161704.1622679890000000000000000000,248.6805646029454677440445953216568197919508813772729536493711978238720639211553,216.1471748721557826753312924712909157119737810965281019071263607521771855478873,184.2779854526887744506597168769583543685892311638564453415511371764217298613979,174.8134293366027077615498164940486946803513487754923343843263763498994026850928,165.7870705159674181961580719141111667471953565884709997240823654987009240623613
